,client,network,station,latitude,longitude,depth,channel
0,KOERI,KO,EDC,40.3465,27.8618,257.0,HHE
1,KOERI,KO,EZN,39.8255,26.3247,48.0,HHE
2,KOERI,KO,GEDZ,39.0445,29.4105,883.0,HHE
3,KOERI,KO,GELI,40.398,26.4742,126.0,HHE
4,KOERI,KO,KRBG,40.3932,27.2977,79.0,HHE
5,KOERI,KO,MRMT,40.609,27.5832,213.0,HHE
6,KOERI,KO,TVSB,39.4497,29.4615,1090.0,HHE
7,KOERI,KO,GAZK,40.747895,27.327514,30.0,HHE
8,KOERI,KO,YAYO,39.6113,27.0726,119.0,HHE
9,KOERI,KO,APMY,37.47178,29.30178,930.0,HHE
10,KOERI,KO,FETY,36.6353,29.0835,200.0,HHE
11,KOERI,KO,BASM,37.919364,30.034952,1012.0,HNE
12,KOERI,KO,CESE,38.3306,26.2997,95.0,HNE
13,KOERI,KO,DATC,36.7584,27.6602,94.0,HNE
14,KOERI,KO,DIDI,37.3767,27.2398,75.0,HNE
15,KOERI,KO,ENZZ,40.607,26.1406,11.0,HNE
16,KOERI,KO,FOCM,38.7131,26.7309,34.0,HNE
17,KOERI,KO,GMLD,38.0764,26.8747,10.0,HNE
18,KOERI,KO,GOMA,38.7077,27.9175,75.0,HNE
19,KOERI,KO,KHL,38.3232,29.5286,1003.0,HNE
20,KOERI,KO,KRBN,38.5936,26.5537,135.0,HNE
21,KOERI,KO,KUSD,37.86,27.2815,323.0,HNE
22,KOERI,KO,YKAV,37.1246,27.2801,115.0,HNE
23,KOERI,KO,GORD,38.9088,28.1769,744.0,HNE
24,KOERI,KO,NAZL,37.9641,28.2922,510.0,HNE
25,KOERI,KO,SOMA,39.1564,27.5341,243.0,HNE
26,KOERI,KO,SUSR,39.9627,28.0835,359.0,HNE
27,KOERI,KO,CANM,40.0114,27.0529,180.0,HNE
28,KOERI,KO,CAME,36.9435,29.3023,1391.0,HNE
29,NOA,HL,PTL,38.0473,23.8638,500.0,HHE
30,NOA,HL,SAP3,36.43561,25.34539,205.0,HHE
31,NOA,HL,LIA,39.89725,25.18055,67.0,HHE
32,NOA,HL,ZKR,35.1147,26.21691,254.0,HHE
33,NOA,HL,VLY,37.8524,23.7942,256.0,HHE
34,NOA,HL,THERA,36.366992,25.475263,288.0,HHE
35,NOA,HL,DION,38.07794,23.93306,460.0,HHE
36,NOA,HL,ARG,36.21356,28.12122,148.0,HHE
37,NOA,HL,KARP,35.5471,27.16106,524.0,HHE
38,NOA,HL,EAG2,38.54385,26.1079,1.5,HHE
39,NOA,HL,NPS,35.26134,25.61037,288.0,HHE
40,NOA,HL,SMTH,40.47094,25.53045,365.0,HHE
41,NOA,HL,APE,37.07274,25.52301,608.0,HHE
42,NOA,HL,PRK,39.24565,26.26499,130.0,HHE
43,NOA,HL,SKY,38.8831,24.5482,268.0,HHE
44,NOA,HL,KSL,36.15031,29.58561,64.0,HHE
45,NOA,HL,KYMI,38.633147,24.100138,259.0,HHE
46,NOA,HL,MHLO,36.68984,24.40171,175.0,HHE
47,NOA,HL,ATH,37.97384,23.71767,93.0,HHE
48,NOA,HC,STIA,35.2021,26.0909,93.0,HHE
49,NOA,HC,PFKS,35.0429,25.4733,745.0,HHE
50,NOA,HI,NAX1,37.101394,25.374103,7.0,HNE
51,NOA,HI,SIT2,35.2059,26.107,0.0,HNE
52,NOA,HI,KSS1,35.4189,26.9207,0.0,HNE
53,NOA,HI,SKY1,38.904483,24.564572,75.0,HNE
54,NOA,HI,KRL1,37.7951,26.7065,14.0,HNE
55,NOA,HI,SFL1,41.189954,26.304374,6.0,HNE
56,NOA,HI,MYT1,39.085,26.5694,34.0,HNE
57,NOA,HI,ATH5,37.975421,23.737098,99.0,HNE
58,NOA,HI,RDI1,36.4514,28.224,7.0,HNE
59,NOA,HI,LMN1,39.875,25.0588,2.0,HNE
60,NOA,HT,CMBO,36.4709,25.4056,108.0,HHE
61,NOA,HT,THAS,40.6064,24.7194,67.0,HHE
62,NOA,HT,ALN,40.885,26.046,110.0,HHE
63,NOA,HT,CHOS,38.3869,26.0506,854.0,HHE
64,NOA,HT,AOS2,39.1478,23.8436,185.0,HHE
65,NOA,HA,STFN,38.176616,23.544045,589.0,HHE
66,NOA,HA,SNT5,36.4037,25.3953,124.0,HHE
67,NOA,HA,VILL,38.1642,23.3122,650.0,HHE
68,NOA,HA,ATHU,37.9665,23.7845,308.0,HHE
69,NOA,HA,KARY,38.0321,24.437,220.0,HHE
70,NOA,HA,MDRA,38.0606,23.4662,370.0,HHE
71,NOA,HA,MRTH,38.12253,23.94087,130.0,HHE
